dtg,mac,rssi,ssid,oui
"2015-10-03 21:56:56.325266",b6:60:a6:44:6a:e3,-81,<None>,"Admin OUI"
"2015-10-03 21:58:34.544929",3c:15:c2:bd:94:52,-81,<None>,Apple
"2015-10-03 21:58:41.404419",60:8f:5c:49:3c:87,-87,<None>,"Samsung Electronics Co.,Ltd"
"2015-10-03 21:58:49.050868",a0:02:dc:2a:8f:4b,-83,<None>,"Amazon Technologies Inc."
"2015-10-03 22:03:12.264768",ea:e0:b7:b8:1e:77,-83,BEEFNBEAUTY,"Admin OUI"
"2015-10-03 22:03:27.828377",fc:19:10:58:86:01,-81,"Dazzler Guest","Samsung Electronics Co.,Ltd"
"2015-10-03 22:03:54.773853",28:f0:76:e1:f8:c6,-83,NYU-ROAM3,Apple
"2015-10-03 22:03:55.360715",28:f0:76:e1:f8:c6,-81,NYU-ROAM3,Apple
"2015-10-03 22:04:04.964846",bc:d1:d3:17:7f:84,-79,"YMCA Member Network","Tinno Mobile Technology Corp"
"2015-10-03 22:04:04.987080",bc:d1:d3:17:7f:84,-77,<None>,"Tinno Mobile Technology Corp"
"2015-10-03 22:11:02.646465",78:4b:87:42:ea:c7,-81,<None>,"Murata Manufacturing Co.,Ltd."
"2015-10-03 22:11:02.665940",78:4b:87:42:ea:c7,-83,<None>,"Murata Manufacturing Co.,Ltd."
"2015-10-03 22:11:08.740755",c0:ee:fb:5a:42:2c,-81,<None>,"OnePlus Tech (Shenzhen) Ltd"
"2015-10-03 22:11:16.864715",9a:bb:1e:91:dc:b1,-81,<None>,"Admin OUI"
"2015-10-03 22:11:20.523945",58:67:1a:81:cd:4e,-83,"Never Scared",BARNES&NOBLE.COM
"2015-10-03 22:11:23.627410",78:4b:87:42:ea:c7,-81,<None>,"Murata Manufacturing Co.,Ltd."
"2015-10-03 22:11:30.849685",78:4b:87:42:ea:c7,-81,<None>,"Murata Manufacturing Co.,Ltd."
"2015-10-03 22:11:37.906097",78:4b:87:42:ea:c7,-81,<None>,"Murata Manufacturing Co.,Ltd."
"2015-10-03 22:11:41.338992",34:12:98:e4:54:21,-81,<None>,Apple
