dtg,mac,rssi,ssid,oui,count
"2015-09-16 13:18:13.857338",78:d7:5f:6a:d1:bc,-61,nyu,"Apple, Inc.",
"2015-09-16 13:18:16.958701",1e:7a:62:21:2e:b4,-75,<None>,"Admin OUI",
"2015-09-16 13:18:34.200085",c0:bd:d1:76:ed:f0,-77,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:18:36.484733",c0:bd:d1:76:ed:f0,-77,<None>,"Samsung Electro Mechanics co., LTD.",
"2015-09-16 13:18:40.944668",58:3f:54:f0:af:e4,-75,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:18:40.995168",58:3f:54:f0:af:e4,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:18:51.248658",4c:7c:5f:6f:43:9e,-77,<None>,Apple,
"2015-09-16 13:19:10.727173",60:d9:c7:20:cc:cf,-77,<None>,Apple,
"2015-09-16 13:19:10.788973",58:3f:54:f0:af:e4,-79,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:19:12.481308",14:10:9f:d0:f8:eb,-61,nyu,Apple,
"2015-09-16 13:19:15.720671",60:6c:66:2d:31:0b,-75,nyu,"Intel Corporate",
"2015-09-16 13:19:40.092618",c0:ee:fb:24:b1:1c,-75,<None>,"OnePlus Tech (Shenzhen) Ltd",
"2015-09-16 13:19:42.968164",a0:39:f7:18:a6:f4,-75,"netgear 84","LG Electronics (Mobile Communications)",
"2015-09-16 13:19:45.083394",60:d9:c7:20:cc:cf,-79,nyu,Apple,
"2015-09-16 13:19:46.893188",1e:7a:62:21:2e:b4,-75,<None>,"Admin OUI",
"2015-09-16 13:19:47.774910",f4:f1:5a:a3:c7:ac,-75,<None>,Apple,
"2015-09-16 13:20:04.977859",60:fa:cd:41:0f:75,-75,mobilywifi,Apple,
"2015-09-16 13:20:13.567216",dc:37:14:65:ca:c9,-75,<None>,"Apple, Inc.",
"2015-09-16 13:20:16.593732",34:12:98:ef:fc:15,-81,<None>,Apple,
"2015-09-16 13:20:23.877678",ee:03:ba:55:d4:05,-79,<None>,"Admin OUI",
"2015-09-16 13:20:35.579663",60:d9:c7:20:cc:cf,-71,<None>,Apple,
"2015-09-16 13:20:49.399201",dc:37:14:65:ca:c9,-75,<None>,"Apple, Inc.",
"2015-09-16 13:20:53.358205",18:f6:43:c7:d6:09,-77,<None>,Apple,
"2015-09-16 13:20:55.185840",14:10:9f:d0:f8:eb,-47,Wifi@Brunel,Apple,
"2015-09-16 13:20:55.238618",14:10:9f:d0:f8:eb,-45,<None>,Apple,
"2015-09-16 13:20:55.289611",14:10:9f:d0:f8:eb,-47,Wifi@Brunel,Apple,
"2015-09-16 13:20:55.342818",14:10:9f:d0:f8:eb,-45,<None>,Apple,
"2015-09-16 13:21:08.048017",20:c9:d0:be:98:87,-83,<None>,Apple,
"2015-09-16 13:21:22.694589",18:f6:43:c7:d6:09,-77,<None>,Apple,
"2015-09-16 13:21:25.649597",60:6c:66:2d:31:0b,-81,<None>,"Intel Corporate",
"2015-09-16 13:21:31.679618",14:10:9f:d0:f8:eb,-59,nyu,Apple,
"2015-09-16 13:21:31.736026",14:10:9f:d0:f8:eb,-59,<None>,Apple,
"2015-09-16 13:21:34.602457",c4:9a:02:2f:9c:ab,-79,<None>,"LG Electronics (Mobile Communicaitons)",
"2015-09-16 13:21:34.770803",14:10:9f:d0:f8:eb,-49,nyu,Apple,
"2015-09-16 13:21:38.853444",f8:95:c7:ed:9d:73,-77,<None>,"LG Electronics (Mobile Communications)",
"2015-09-16 13:21:43.728373",08:ec:a9:44:2e:3e,-79,<None>,"Samsung Electronics Co.,Ltd",
"2015-09-16 13:21:50.487818",e2:23:82:91:85:3a,-75,<None>,"Admin OUI",
"2015-09-16 13:21:50.551156",e2:23:82:91:85:3a,-73,<None>,"Admin OUI",
"2015-09-16 13:21:53.897783",90:e7:c4:b8:c8:b8,-77,<None>,"HTC Corporation",
"2015-09-16 13:21:55.089135",c0:ee:fb:24:b1:1c,-77,<None>,"OnePlus Tech (Shenzhen) Ltd",
"2015-09-16 13:22:00.057944",14:10:9f:d0:f8:eb,-51,nyu,Apple,
"2015-09-16 13:22:00.110537",14:10:9f:d0:f8:eb,-51,<None>,Apple,
"2015-09-16 13:22:03.225092",14:10:9f:d0:f8:eb,-51,nyu,Apple,
"2015-09-16 13:22:03.273354",14:10:9f:d0:f8:eb,-51,nyu,Apple,
"2015-09-16 13:22:18.932040",90:b6:86:f4:d0:0c,-77,<None>,"Murata Manufacturing Co., Ltd.",
"2015-09-16 13:22:23.250944",92:3a:25:27:72:7c,-71,<None>,"Admin OUI",
